species,avgbrood,avgsire,pmult,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
"Guadeloupe racoon, Procyon lotor",4,1.9,0.875,0.448414224,0.026981826,0.396118267,0.500670186,1.8875,0.92187028,1,4,5.54892375,3.170613353,2,13,4.224672479,2.083064933,2.038704092,9.151809098,0.667642574,0.035271408,0.597547451,0.734143032,1.977931797,0.07951056,1.827506811,2.135431054,4.252650442,0.258529783,3.794913406,4.79654729,0.643953691,0.590335828,0.696017461,-0.231046309,-0.284664172,-0.178982539
"American black bear, Ursus americanus",2.4,1.2,0.2,0.523976937,0.040819906,0.443572367,0.603158254,1.5,0.9000009,1,3,4.12342,2.625178334,2,12,2.880438382,1.748752741,1.678189245,6.508353397,0.465780926,0.044817097,0.37950134,0.554612451,1.513674067,0.054902831,1.409836282,1.624328182,2.304350706,0.183102748,1.989527611,2.705308292,0.504315793,0.458242752,0.551023311,0.304315793,0.258242752,0.351023311
"Brown bear, Ursus arctos",2,1.1,0.145,0.563453072,0.012634424,0.538621676,0.5882151,1.28115942,0.534945617,1,3,3.436561304,1.77872452,2,8,2.274908517,0.951493925,1.704346183,5.286710784,0.392335129,0.012250705,0.368571004,0.416646402,1.392335129,0.012250705,1.368571004,1.416646402,1.953230276,0.043843186,1.8700642,2.042249781,0.429716182,0.392753864,0.467779365,0.284716182,0.247753864,0.322779365
"North American Beaver, Castor canadensis",3.7,1.6,0.556,0.487288686,0.027937489,0.433122394,0.543599129,1.711111111,0.933862803,1,4,4.824844444,2.903594498,2,12,3.523141844,1.936780213,1.869186624,8.443271113,0.675120642,0.035073082,0.6055837,0.744000732,1.970516955,0.076316801,1.826138627,2.128155065,3.2943664,0.190640963,2.94334541,3.69410592,0.629355458,0.575694097,0.681792325,0.073355458,0.019694097,0.125792325
"Brazilian guinea pig, Cavia aperea",3.9,1.3,0.267,0.398942802,0.019870828,0.360375993,0.437602896,1.633333333,0.819891865,1,4,5.286095333,3.271415177,2,14,4.104379046,2.073124292,2.314093456,9.376613488,0.587672517,0.027412154,0.533810128,0.640320364,1.804253936,0.052835658,1.703652606,1.908934081,3.266750669,0.163818654,2.970729882,3.607343514,0.639443871,0.585808663,0.691630364,0.372443871,0.318808663,0.424630364
"Prairie vole, Microtus ochrogaster",4.8,1.6,0.556,0.360193469,0.022618091,0.316516694,0.405826275,1.777777778,0.96353313,1,4,6.104873333,3.994578184,2,17,4.955211294,2.709194451,2.51460381,12.12642874,0.640486157,0.033673853,0.573600532,0.70644018,1.959709224,0.078947362,1.81071705,2.12239165,4.459690165,0.281943564,3.942573709,5.055025627,0.667893525,0.61226337,0.721516073,0.111893525,0.05626337,0.165516073
"Tundra vole, Microtus oeconomus",5.3,1.6,0.381,0.341736464,0.01416852,0.314399099,0.36971961,1.871428571,0.969851892,1,4,6.61667619,4.262924671,2,17,5.485675481,2.854493679,2.745219795,12.08279892,0.662980084,0.021880358,0.619828162,0.705229694,2.033361091,0.055928655,1.926961381,2.145301875,4.69004316,0.195062888,4.327603831,5.089073103,0.681145542,0.626669413,0.733470055,0.300145542,0.245669413,0.352470055
"Red-backed vole, Myodes rutilus",4.3,1.2,0.232,0.356826459,0.004971644,0.347052824,0.366588881,1.553488372,0.768371548,1,3,5.468814,3.515409945,2,15,4.354470077,2.15483108,2.736449157,8.657721533,0.579311057,0.007334911,0.56483414,0.593655196,1.804966233,0.014568537,1.77646746,1.833715504,3.363632575,0.046899676,3.273421709,3.457686896,0.65462678,0.600323698,0.707151371,0.42262678,0.368323698,0.475151371
"Big-eared woodrat, Neotoma macrotis",2.2,1.2,0.2,0.5634966,0.019654768,0.525251212,0.602181314,1.38,0.635295334,1,3,3.6675936,1.967970613,2,9,2.451985246,1.132743402,1.669904105,5.428142267,0.453506367,0.020900622,0.413440334,0.49526879,1.478649562,0.023385989,1.434021158,1.525590399,2.132161083,0.074660293,1.992755291,2.284621098,0.469158465,0.427211764,0.511983171,0.269158465,0.227211764,0.311983171
"Canyon mouse, Peromyscus crinitus",3.8,1.2,0.2,0.389044327,0.024916621,0.340359853,0.438222992,1.46,0.75392345,1,4,4.894839,3.164994815,2,13,3.768326218,1.965137163,2.306893006,9.684127697,0.560037061,0.034367782,0.492037638,0.626977826,1.748022472,0.062762272,1.628439808,1.874802651,3.097254426,0.200270992,2.738331903,3.52568022,0.634556769,0.580875033,0.686902282,0.434556769,0.380875033,0.486902282
